,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
0,9,1,10,1,11.99411995718017,1.3069722652435303
1,9,2,12,1,38.57815753012484,1.257002353668213
2,9,3,3,1,12.139738728608041,1.2650260925292969
3,9,4,1,1,20.346849407027598,1.3350107669830322
4,9,5,1,1,40.825803906544635,1.3130288124084473
5,9,6,6,2,23.785249394111805,1.2669711112976074
6,9,7,1,1,19.72036041671726,1.273655652999878
7,9,8,4,1,29.027639760897916,1.3612143993377686
8,9,9,11,1,15.05084851816281,1.3207588195800781
9,9,10,20,1,18.661913050733034,1.312570571899414
10,9,11,1,4,18.731638774896666,1.321561336517334
11,9,12,2,2,19.38601757540203,1.3166723251342773
12,9,13,21,1,11.791624605670886,1.3009979724884033
13,9,14,13,1,9.351283162921172,1.245008945465088
14,9,15,10,1,9.603259363276937,1.2904436588287354
15,9,16,1,4,19.27877717990046,1.4114048480987549
16,9,17,8,1,24.73616529811833,1.278092622756958
17,9,18,8,1,18.666426216890034,1.2540626525878906
18,9,19,13,1,16.890695362337542,1.2679672241210938
19,9,20,7,1,19.174306959874283,1.2440290451049805
20,9,21,4,1,25.131956768991593,1.2470381259918213
21,9,22,2,1,24.91258283232128,1.248037576675415
22,9,23,3,1,25.404835266801644,1.4316256046295166
23,9,24,1,4,28.889607308843978,1.3411741256713867
24,9,25,1,2,18.914899539959862,1.534407377243042
25,9,26,14,1,23.23183294075591,1.4108304977416992
26,9,27,12,1,18.845603027703905,1.2947824001312256
27,9,28,1,4,19.344953526232754,1.2950878143310547
28,9,29,5,1,16.895832321463704,1.3128507137298584
29,9,30,16,1,12.195588743035682,1.4131410121917725
30,18,1,6,1,16.31611085763062,1.316044569015503
31,18,2,4,1,9.99393858891698,1.3011558055877686
32,18,3,16,1,7.640352363893542,1.2908799648284912
33,18,4,21,1,9.364705731147112,1.2794768810272217
34,18,5,2,1,8.471513879781467,1.320197582244873
35,18,6,2,1,9.831129866330397,1.3883006572723389
36,18,7,16,1,22.32524788123794,1.274062156677246
37,18,8,4,3,19.542202371289925,1.283548355102539
38,18,9,9,1,7.921451690714577,1.3397297859191895
39,18,10,22,1,7.608284158895209,1.273000717163086
40,18,11,6,1,12.319943237643836,1.3951027393341064
41,18,12,22,1,9.6416784783415,1.2892637252807617
42,18,13,14,1,8.193202666369833,1.3070869445800781
43,18,14,19,1,9.466483345871286,1.302302598953247
44,18,15,3,1,16.39243858828055,1.326728105545044
45,18,16,24,1,8.729839851264929,1.4033753871917725
46,18,17,4,2,18.571631064252276,1.2709999084472656
47,18,18,4,2,9.164282177404742,1.3209996223449707
48,18,19,15,1,8.124152547964497,1.3381145000457764
49,18,20,19,1,11.041003551701568,1.3753585815429688
50,18,21,2,1,9.104769506506308,1.2590010166168213
51,18,22,11,1,8.174214941723534,1.284970760345459
52,18,23,2,1,8.453644678025134,1.4430146217346191
53,18,24,11,2,10.302752717979704,1.296997308731079
54,18,25,4,2,8.457613705091353,1.2869999408721924
55,18,26,14,1,8.342484368672153,1.259000301361084
56,18,27,1,6,41.373906647321625,1.2500007152557373
57,18,28,3,3,17.405633543269154,1.2479994297027588
58,18,29,20,1,21.725238206683915,1.255000352859497
59,18,30,3,1,9.475082837300281,1.2439992427825928
60,27,1,4,1,8.685919988995938,1.2630000114440918
61,27,2,14,1,9.80875198622909,1.305999517440796
62,27,3,15,1,10.546167300440356,1.2770001888275146
63,27,4,22,1,13.167744860045186,1.271031379699707
64,27,5,22,1,8.013254119938026,1.2799999713897705
65,27,6,2,4,8.528241578366117,1.2669990062713623
66,27,7,12,1,10.050637381714827,1.262969970703125
67,27,8,9,2,7.098375932018722,1.2589998245239258
68,27,9,2,1,7.878245927507622,1.2660002708435059
69,27,10,3,3,7.336758632226702,1.3200016021728516
70,27,11,3,1,14.746454605086647,1.3990001678466797
71,27,12,11,1,7.866054985203154,1.3160271644592285
72,27,13,10,1,6.733965484816822,1.335972785949707
73,27,14,19,1,13.814582031562583,1.4459998607635498
74,27,15,3,1,8.596110312637506,1.446000099182129
75,27,16,2,1,8.962312399243988,1.4619998931884766
76,27,17,3,1,8.470378730191602,1.2719969749450684
77,27,18,2,1,8.103817266273653,1.2629997730255127
78,27,19,3,1,8.509979902294814,1.263000249862671
79,27,20,2,3,9.58030876536779,1.2649998664855957
80,27,21,24,1,8.024470214858143,1.2670001983642578
81,27,22,10,1,10.543223483148815,1.2789995670318604
82,27,23,6,2,8.126129549268454,1.26300048828125
83,27,24,20,1,9.07738358269881,1.2639997005462646
84,27,25,24,1,13.517701341262281,1.2659995555877686
85,27,26,7,1,7.6090637117604665,1.265000820159912
86,27,27,3,4,10.695725911970365,1.2679986953735352
87,27,28,3,2,8.90882926621576,1.2779998779296875
88,27,29,22,1,8.048972256798507,1.2670009136199951
89,27,30,18,1,8.785013199311352,1.2609992027282715
90,36,1,5,2,8.795832813311012,1.277001142501831
91,36,2,5,1,8.78937648854415,1.2749991416931152
92,36,3,6,2,7.736128765039234,1.291032314300537
93,36,4,22,1,7.956443904716501,1.4219706058502197
94,36,5,19,1,8.618100892919092,1.4580001831054688
95,36,6,2,1,8.325666238804837,1.4579992294311523
96,36,7,4,1,9.818352629526935,1.4729995727539062
97,36,8,21,1,7.456339362523434,1.4580004215240479
98,36,9,8,2,7.4431242406271885,1.396028995513916
99,36,10,6,1,10.00190491733537,1.2899975776672363
100,36,11,2,1,8.036399334183859,1.2899658679962158
101,36,12,3,3,8.360582381183725,1.2870283126831055
102,36,13,10,2,7.384932483852201,1.2869970798492432
103,36,14,3,2,7.670076725779109,1.2880003452301025
104,36,15,23,1,8.0785002538905,1.319000482559204
105,36,16,4,3,7.350330476867921,1.2889697551727295
106,36,17,2,1,9.323298867205757,1.3009991645812988
107,36,18,11,1,10.727112811247274,1.2830300331115723
108,36,19,4,1,7.452119128150876,1.2789700031280518
109,36,20,20,1,7.799499030341793,1.2720305919647217
110,36,21,4,3,8.980659413098227,1.288999319076538
111,36,22,13,1,10.565911350962033,1.2780003547668457
112,36,23,15,1,8.474691621621908,1.273005485534668
113,36,24,2,2,7.942985301044135,1.2739951610565186
