,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
0,26,1,10,2,3.234200420440593,1.6480019092559814
1,26,2,4,1,1.9490406285839998,1.5979986190795898
2,26,3,2,1,2.9952496400250133,1.5939996242523193
3,26,4,10,1,2.3123119659937683,1.5959994792938232
4,26,5,24,1,1.8131459811464006,1.576997995376587
5,26,6,3,1,3.034611784395991,1.5860047340393066
6,26,7,23,1,2.5336272356877956,1.6209971904754639
7,26,8,12,1,2.799253705395749,1.5979998111724854
8,26,9,14,1,3.327058721192344,1.609994888305664
9,26,10,2,1,24.953878022952544,1.5920050144195557
10,26,11,7,1,2.4327359585941686,1.5899996757507324
11,26,12,9,1,1.9346453525617695,1.846712350845337
12,26,13,2,1,2.9751173552142145,1.7690322399139404
13,26,14,7,1,2.247120108878602,1.6150004863739014
14,26,15,4,2,2.2938799035782425,1.778038740158081
15,26,16,8,1,3.0885922440059788,1.6701691150665283
16,26,17,24,1,3.769581544691161,1.612745761871338
17,26,18,15,1,2.275717637789483,1.6440072059631348
18,26,19,23,1,2.1401928778381984,1.650029182434082
19,26,20,24,1,2.6834053390110624,1.6229708194732666
20,26,21,12,1,3.6753647524392856,1.6190252304077148
21,26,22,24,1,2.9482373213545463,1.6519756317138672
22,26,23,15,1,14.91174734247429,1.6290299892425537
23,26,24,16,1,2.119035873866053,1.6379714012145996
24,26,25,3,1,3.5589148775420623,1.7000186443328857
25,26,26,8,1,2.9391088844124043,1.6890006065368652
26,26,27,4,1,3.2665963642419817,1.6469709873199463
27,26,28,14,1,2.540031937788203,1.7100532054901123
28,26,29,9,1,2.951945879755807,1.664250135421753
29,26,30,3,4,36.0901769313813,1.8480000495910645
30,52,1,3,1,1.7576906531513252,1.9021196365356445
31,52,2,4,1,2.009214161023371,1.7464840412139893
32,52,3,18,1,1.7982806660509782,1.8784253597259521
33,52,4,3,1,1.8295665344829168,1.8400037288665771
34,52,5,19,1,1.8403673235103792,1.8932597637176514
35,52,6,6,1,2.1936135731007744,1.729996919631958
36,52,7,9,1,1.7929372914817179,1.669997215270996
37,52,8,4,2,2.2523469553798035,1.7810029983520508
38,52,9,4,1,1.9483549732241887,1.6899974346160889
39,52,10,11,1,1.8850666613948526,1.7360200881958008
40,52,11,14,1,1.7926079070074783,1.7460224628448486
41,52,12,3,2,1.7141318027956682,1.6619937419891357
42,52,13,4,2,1.6688795887717587,1.7079746723175049
43,52,14,4,2,1.8317946080001126,1.7400002479553223
44,52,15,3,2,1.9572895686074145,1.8684923648834229
45,52,16,6,1,4.010769955660007,1.8019683361053467
46,52,17,4,2,1.7676349946514636,1.7451229095458984
47,52,18,6,1,1.849686347793933,1.7812798023223877
48,52,19,20,2,1.9040624109380788,1.8799998760223389
49,52,20,19,1,1.895196745768778,1.7590272426605225
50,52,21,4,2,1.8899629797511115,1.7010009288787842
51,52,22,3,1,1.7780913707667496,1.7019989490509033
52,52,23,5,1,2.6175883748662887,1.764000415802002
53,52,24,24,1,1.823760072421126,1.7639694213867188
54,52,25,5,1,1.988152270968533,1.6879997253417969
55,52,26,14,1,2.179246863030413,1.7010314464569092
56,52,27,6,1,2.0544012899389843,1.6899685859680176
57,52,28,16,1,1.9514382097194236,1.6879997253417969
58,52,29,4,4,2.077548179445928,1.7010002136230469
59,52,30,7,3,1.9624440150713736,1.6920323371887207
60,78,1,4,1,1.43403513249507,1.833970308303833
61,78,2,4,1,1.3734873503627365,1.9770002365112305
62,78,3,4,4,1.6849608978198845,1.7609972953796387
63,78,4,4,1,2.1776085324695913,1.9130020141601562
64,78,5,4,1,1.683796582513349,1.902998685836792
65,78,6,4,1,1.4764474853472749,1.7709987163543701
66,78,7,5,1,1.9422811041119137,1.8410265445709229
67,78,8,4,1,1.6005050452858252,1.7820088863372803
68,78,9,4,1,1.633655638118836,1.760965347290039
69,78,10,11,1,2.700032396047589,1.765028953552246
70,78,11,4,3,1.489486533142138,1.7620024681091309
71,78,12,4,6,1.8720506010189524,1.761993646621704
72,78,13,4,1,1.8552784955458912,1.9299778938293457
73,78,14,4,1,1.3868137682477097,1.8919970989227295
74,78,15,4,1,1.3858128643013756,1.8570001125335693
75,78,16,3,1,1.6516630272474304,1.7640295028686523
76,78,17,5,2,1.7107181200151957,1.8699755668640137
77,78,18,4,2,1.7177567497033839,1.9340007305145264
78,78,19,20,1,1.7926962859613766,1.7930278778076172
79,78,20,5,5,1.7049159436277161,1.7899949550628662
80,78,21,16,1,1.3435825303061304,1.7920012474060059
81,78,22,4,1,1.5425975668628973,1.7799949645996094
82,78,23,5,1,1.7512104133582218,1.74900484085083
83,78,24,4,1,1.5561097569888427,1.754969835281372
84,78,25,15,2,1.414921629458806,1.7619998455047607
85,78,26,4,4,1.683364921790334,1.7569994926452637
86,78,27,5,1,1.4886461631652261,1.7690002918243408
87,78,28,4,1,1.8333734266143566,1.7579991817474365
88,78,29,4,2,1.704144086824132,1.7510008811950684
89,78,30,4,4,2.0788239542939086,1.7520294189453125
90,104,1,4,1,1.592504483310773,1.8320024013519287
91,104,2,4,1,1.3256981554795577,1.8319685459136963
92,104,3,6,2,2.2430885000772935,2.002999782562256
93,104,4,4,4,1.3785585814806398,2.0259997844696045
94,104,5,5,2,1.4213203781587815,1.8499975204467773
95,104,6,6,2,1.473940365127645,1.8410320281982422
96,104,7,4,2,1.5745569469315652,1.8199975490570068
97,104,8,5,3,1.9281238337387947,1.8379998207092285
98,104,9,4,1,1.1926480024541892,1.8269703388214111
99,104,10,4,3,1.691719113657473,1.8460297584533691
100,104,11,4,1,1.6844598202996854,1.8339710235595703
101,104,12,6,2,1.3961652440577084,1.932002067565918
102,104,13,7,2,2.0403397208260112,1.8669967651367188
103,104,14,3,1,1.8298014393583018,1.8480253219604492
104,104,15,4,1,1.8522936479132457,1.843980073928833
105,104,16,6,2,2.0656291188991474,1.8600289821624756
106,104,17,5,1,1.7676008624623125,1.834995985031128
107,104,18,6,2,1.8315503209020436,1.826970100402832
108,104,19,5,1,1.7381284145587244,1.9350025653839111
109,104,20,20,1,1.9592527853611523,1.875997543334961
110,104,21,4,2,1.5868989647944187,1.9620025157928467
111,104,22,4,2,1.4236817835193982,1.9480268955230713
112,104,23,4,1,1.4300690536706095,1.953998327255249
113,104,24,4,1,1.8442266782900705,1.9079737663269043
114,104,25,10,2,1.592147017667819,1.8359997272491455
115,104,26,4,2,1.2959789325589308,1.8480029106140137
116,104,27,6,3,1.4735768470765649,1.9410266876220703
117,104,28,4,1,1.4483171810256235,1.838003396987915
118,104,29,4,1,1.4692547443172481,1.863996982574463
119,104,30,4,1,1.1372960987416614,1.8420002460479736
