,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
0,18,1,13,1,297.0671077268521,1.6249988079071045
1,18,2,12,1,32.04823625082747,1.827003002166748
2,18,3,3,3,277.7732428409317,1.8100221157073975
3,18,4,2,5,290.29786635168927,1.780977725982666
4,18,5,1,4,93.90313751172758,1.6980297565460205
5,18,6,22,1,22.951769065895455,1.6149675846099854
6,18,7,2,2,50.94877783023508,1.7470026016235352
7,18,8,7,1,29.773766639785087,1.7890002727508545
8,18,9,16,1,30.997081270434034,1.8290276527404785
9,18,10,18,2,245.72802560278387,1.623999834060669
10,18,11,7,2,757.7258100504622,1.6319737434387207
11,18,12,1,6,112.14897173323884,1.6290252208709717
12,18,13,6,4,64.8496290618467,1.618001937866211
13,18,14,15,1,56.782450509874614,1.6159987449645996
14,18,15,2,1,70.71056326404668,1.6220006942749023
15,18,16,2,7,67.17803829229189,1.6180014610290527
16,18,17,6,1,31.79913644494361,1.6130008697509766
17,18,18,8,1,300.2477990669603,1.6159708499908447
18,18,19,2,3,60.71104827806869,1.613999605178833
19,18,20,2,7,102.53471475676983,1.6900033950805664
20,18,21,6,1,30.519007283031712,1.797999620437622
21,18,22,16,1,84.47575079000187,1.7830002307891846
22,18,23,23,1,38.91008880488576,1.7849993705749512
23,18,24,3,1,31.209506103182193,1.7589969635009766
24,18,25,7,1,20.807996238382394,1.6289994716644287
25,18,26,4,7,145.8667084287697,1.6190295219421387
26,18,27,4,3,250.92584571732854,1.6319737434387207
27,18,28,20,1,363.1656439819749,1.6539976596832275
28,18,29,24,1,20.623036585924478,1.6160590648651123
29,18,30,8,1,32.83882763589248,1.7849421501159668
30,36,1,22,1,13.638696711926091,1.8420000076293945
31,36,2,8,1,17.367973510221663,1.8500003814697266
32,36,3,9,1,9.83944808015173,1.825026273727417
33,36,4,20,1,14.011349753701118,1.6709661483764648
34,36,5,16,1,9.323360402125807,1.8620028495788574
35,36,6,24,1,11.729125563393035,1.8410000801086426
36,36,7,2,3,60.997772290820606,1.7090232372283936
37,36,8,5,1,14.946570456016955,1.69600510597229
38,36,9,9,1,18.976420395227763,1.7149982452392578
39,36,10,4,1,41.63750032717562,1.660001277923584
40,36,11,23,1,15.344817588419932,1.6569998264312744
41,36,12,19,1,14.235702210995232,1.6579954624176025
42,36,13,9,1,13.594751919316547,1.658003330230713
43,36,14,7,1,18.518040886033425,1.6869988441467285
44,36,15,1,11,105.2354520663183,1.6749680042266846
45,36,16,20,1,14.501049515808306,1.6670303344726562
46,36,17,15,1,12.79245992476819,1.6639697551727295
47,36,18,16,1,12.268166067042312,1.687999963760376
48,36,19,19,1,9.939665147012915,1.6760003566741943
49,36,20,19,1,13.745703055493777,1.690002679824829
50,36,21,20,1,15.378505267245835,1.7429969310760498
51,36,22,21,1,9.41326548268924,1.7380027770996094
52,36,23,10,1,18.514228951807404,1.8550000190734863
53,36,24,14,1,9.204365893551733,1.8330001831054688
54,36,25,17,1,10.823616757934307,1.8369996547698975
55,36,26,16,1,5.9000499468665755,1.7880287170410156
56,36,27,21,1,27.315327472858357,1.669999361038208
57,36,28,7,1,18.263907839061577,1.6550018787384033
58,36,29,18,1,21.706772829487385,1.6679997444152832
59,36,30,22,1,10.218010953550966,1.669999122619629
60,54,1,8,1,3.7974649932266193,1.7109994888305664
61,54,2,15,1,8.533345317170733,1.7259995937347412
62,54,3,9,1,7.646030534750707,1.7070300579071045
63,54,4,8,1,11.752355375553385,1.773972749710083
64,54,5,11,1,13.28562785438173,1.7889971733093262
65,54,6,7,1,5.441975827402285,1.7120246887207031
66,54,7,18,1,3.4244233196780445,1.7469749450683594
67,54,8,9,1,3.1177152499451055,1.7120003700256348
68,54,9,19,1,5.192871932183335,1.7069995403289795
69,54,10,19,1,8.617024751803983,1.7599997520446777
70,54,11,21,1,6.4645487972875015,1.7259998321533203
71,54,12,13,1,9.062419156626977,1.7110300064086914
72,54,13,6,1,10.093614891474708,1.810971736907959
73,54,14,21,1,4.417960633430257,1.71903395652771
74,54,15,20,1,7.474097346488182,1.7059693336486816
75,54,16,20,1,8.838631963804517,1.7250003814697266
76,54,17,5,1,15.593498705135096,1.7030298709869385
77,54,18,11,1,6.456612374570652,1.8219702243804932
78,54,19,20,1,9.763599688654374,1.7020301818847656
79,54,20,22,1,3.625386496477617,1.827972650527954
80,54,21,13,1,4.37891758657419,1.8839967250823975
81,54,22,21,1,9.26951896945678,1.7436394691467285
82,54,23,17,1,11.073556453855902,1.8117139339447021
83,54,24,24,1,1.8059426321727097,2.347658634185791
84,54,25,7,1,8.532776090197117,1.8608269691467285
85,54,26,24,1,8.389160264476638,1.8158972263336182
86,54,27,7,1,154.92456206795612,1.8173034191131592
87,54,28,16,1,3.9147537950270594,1.8845610618591309
88,54,29,22,1,6.130843884001725,1.8738229274749756
89,54,30,17,1,3.5534193360878987,2.0569345951080322
90,72,1,15,1,4.661140669162499,1.914501428604126
91,72,2,21,1,9.262370554894643,1.901550054550171
92,72,3,13,1,1.65787982274668,2.0309789180755615
93,72,4,18,1,7.09660713055362,1.9045705795288086
94,72,5,22,1,4.192864948986059,1.8993003368377686
95,72,6,17,1,3.5270857476179933,1.8670406341552734
96,72,7,13,1,4.582344494258351,1.8769862651824951
97,72,8,11,1,7.332773719315869,2.0390243530273438
98,72,9,17,1,6.250313862170034,1.8416662216186523
99,72,10,7,1,3.1558794002033235,1.883399248123169
100,72,11,19,1,6.259345537427144,1.9793167114257812
101,72,12,11,1,8.181211705011924,2.0647997856140137
102,72,13,14,1,8.696173377025344,1.9454774856567383
103,72,14,5,1,3.9270763374858326,1.9637267589569092
104,72,15,15,1,3.366437142696714,1.8646063804626465
105,72,16,7,1,4.950552309953239,1.8363964557647705
106,72,17,13,1,17.180181337918178,1.889326572418213
107,72,18,20,1,4.3655501365240506,1.991973638534546
108,72,19,17,1,3.318883191038452,1.9590585231781006
109,72,20,11,1,4.425721143427533,1.888089656829834
110,72,21,10,1,4.821160716814362,1.8820374011993408
111,72,22,20,1,10.882875119031185,1.9488091468811035
112,72,23,8,1,3.2384293067839813,2.0002360343933105
113,72,24,14,1,8.129703019724412,1.9539968967437744
114,72,25,18,2,8.026610126034202,1.8600363731384277
115,72,26,11,1,6.57532455658891,1.9289662837982178
116,72,27,18,1,8.70806260128795,1.9510271549224854
117,72,28,6,1,3.3678901326546633,1.8729727268218994
118,72,29,11,1,11.352959942309731,2.022892951965332
119,72,30,20,1,4.25815903225831,1.8368959426879883
