,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
0,11,1,24,5,5.327394909985726,1.5869948863983154
1,11,2,2,1,4.5389689434032325,1.585975170135498
2,11,3,6,5,5.3235553201644645,1.5819997787475586
3,11,4,14,4,5.675330022267056,1.5620002746582031
4,11,5,20,5,6.772154583438664,1.5909993648529053
5,11,6,13,2,6.174936554852187,1.6720011234283447
6,11,7,6,5,6.043219430181008,1.5980288982391357
7,11,8,5,5,6.648529420593944,1.5769946575164795
8,11,9,1,6,6.148051956007513,1.5880107879638672
9,11,10,16,1,5.035474842938003,1.6219964027404785
10,11,11,16,2,5.870126807118866,1.6119911670684814
11,11,12,4,1,5.015625882853363,1.5890111923217773
12,11,13,2,2,5.650894700676336,1.6489708423614502
13,11,14,7,2,4.551422581220907,1.805999517440796
14,11,15,1,3,5.5354680260919675,1.8160030841827393
15,11,16,10,1,8.209986938816744,1.8799986839294434
16,11,17,14,1,6.9897210691669915,1.883000373840332
17,11,18,12,1,6.049255910415698,1.8870296478271484
18,11,19,3,4,5.7915619177141675,1.675997018814087
19,11,20,1,6,6.148960934052823,1.646977186203003
20,11,21,1,6,6.234830444748055,1.8040001392364502
21,11,22,1,6,6.529117273351328,1.8810007572174072
22,11,23,4,4,5.1230440252292935,1.8686716556549072
23,11,24,1,1,6.151153075546821,1.80299973487854
24,11,25,2,2,5.6279709702470155,1.6420269012451172
25,11,26,7,1,4.611404200357913,1.5740032196044922
26,11,27,1,1,5.952533019717896,1.7050197124481201
27,11,28,1,6,6.875723650178029,1.7630279064178467
28,11,29,6,1,5.813504520177644,1.7012627124786377
29,11,30,1,4,5.93199658358181,1.848996877670288
30,22,1,5,1,3.4559888914859718,1.6890270709991455
31,22,2,3,2,4.8367877905699315,1.7229702472686768
32,22,3,6,1,4.814043036479506,1.6790297031402588
33,22,4,5,4,4.491605274095845,1.7499961853027344
34,22,5,5,2,4.240146440280411,1.6359877586364746
35,22,6,3,2,3.902972517256495,1.7889995574951172
36,22,7,20,2,3.804072663992622,1.8540022373199463
37,22,8,12,5,6.2415394780346,1.7629971504211426
38,22,9,10,1,4.132207055569545,1.6590321063995361
39,22,10,19,1,3.1806885778536276,1.6209921836853027
40,22,11,4,1,4.890054979957471,1.6830053329467773
41,22,12,6,1,5.673767896135932,1.6630001068115234
42,22,13,13,1,4.682639623971709,1.6399707794189453
43,22,14,22,1,5.080307858579392,1.7290294170379639
44,22,15,19,1,4.4504998262006605,1.6299755573272705
45,22,16,10,6,5.5310665907623315,1.7920022010803223
46,22,17,17,4,4.512608106858395,1.854001522064209
47,22,18,1,6,7.0887702138155495,1.791999340057373
48,22,19,8,3,6.664567355305054,1.6169989109039307
49,22,20,3,10,7.13888847064013,1.6000003814697266
50,22,21,16,1,4.269649931544003,1.6009998321533203
51,22,22,16,1,3.880729434378025,1.638096570968628
52,22,23,16,1,4.785517897203467,1.6039962768554688
53,22,24,2,2,5.435143716413413,1.6679720878601074
54,22,25,6,6,5.458587877374939,1.6750319004058838
55,22,26,6,2,4.452039692228449,1.5769963264465332
56,22,27,8,1,4.638148744675567,1.5929701328277588
57,22,28,22,2,3.706113202275605,1.6170322895050049
58,22,29,2,1,5.08647249941415,1.7360000610351562
59,22,30,19,1,3.47578233550614,1.6649975776672363
60,33,1,18,4,3.5972776098469224,1.7499678134918213
61,33,2,23,1,2.7078512733682927,1.6880173683166504
62,33,3,4,5,4.122267881365057,1.7887096405029297
63,33,4,21,1,3.700893166928195,1.8280017375946045
64,33,5,8,1,4.069127891868458,1.8349997997283936
65,33,6,21,2,3.5306848330045875,1.8290002346038818
66,33,7,3,3,3.5278961350899447,1.7219972610473633
