,sampleSize,sampleId,max_depth,min_samples_leaf,GeneralizedError,ModelTime
0,39,1,1,1,4.437004341135848,1.735973834991455
1,39,2,18,9,4.789737890576373,1.7280261516571045
2,39,3,7,13,4.7490751178016275,1.8399732112884521
3,39,4,2,3,4.688364835480938,1.8269968032836914
4,39,5,3,7,5.065435059867678,1.7160325050354004
5,39,6,4,1,5.105132678423636,1.813999891281128
6,39,7,1,6,4.720055479251932,1.719963788986206
7,39,8,5,1,5.525847097873685,1.7349998950958252
8,39,9,24,6,4.792535368126324,1.7259995937347412
9,39,10,2,7,4.410658388434668,1.7160019874572754
10,39,11,3,4,5.160636546701809,1.7260053157806396
11,39,12,15,13,4.5170616755121396,1.7360048294067383
12,39,13,3,1,5.82509666924556,1.7259984016418457
13,39,14,1,9,4.568152237887496,1.714998722076416
14,39,15,15,13,4.622937582996158,1.7399985790252686
15,39,16,10,13,4.600044073537521,1.734999179840088
16,39,17,1,13,4.587673869368702,1.7790086269378662
17,39,18,4,1,4.469209966651828,1.7149994373321533
18,39,19,2,5,4.909824852814645,1.729975700378418
19,39,20,1,8,4.61156899939378,1.7189981937408447
20,39,21,14,7,4.679009384729422,1.7180287837982178
21,39,22,8,7,4.91214551895124,1.7179968357086182
22,39,23,8,5,5.0382042464348045,1.7109706401824951
23,39,24,3,1,5.001709190929649,1.820000171661377
24,39,25,8,13,4.766344640017238,1.7189996242523193
25,39,26,6,13,4.509891076182889,1.7270002365112305
26,39,27,5,7,4.678554313769431,1.724025011062622
27,39,28,1,1,4.312922519148418,1.7270026206970215
28,39,29,11,7,4.822307613103679,1.740001916885376
29,39,30,24,6,4.5279638461858225,1.723968267440796
30,78,1,2,2,4.589134714372449,1.9089996814727783
31,78,2,2,14,4.331673455930055,1.8950295448303223
32,78,3,3,2,4.489297796200567,1.915001392364502
33,78,4,2,5,4.769273955628535,1.8919942378997803
34,78,5,2,4,4.299712640573922,1.9370005130767822
35,78,6,3,11,4.3759012744564725,2.0220279693603516
36,78,7,3,7,4.505772307763764,1.8979949951171875
37,78,8,19,9,4.456499990340304,1.9110074043273926
38,78,9,4,4,4.2848561239904965,1.9279942512512207
39,78,10,6,2,4.323175817474985,1.9080026149749756
40,78,11,19,8,4.61825622821921,1.8889997005462646
41,78,12,1,14,4.265758240247313,1.892998218536377
42,78,13,7,2,4.313095024650816,1.911003589630127
43,78,14,4,10,4.323901735307376,1.9170005321502686
44,78,15,5,5,4.042572794447613,2.0039710998535156
45,78,16,2,4,4.609727721416106,1.9340276718139648
46,78,17,2,10,4.596643064513413,1.8819999694824219
47,78,18,24,9,4.49602625775342,1.949972152709961
48,78,19,6,2,4.335564284240626,2.027024507522583
49,78,20,5,1,4.558312986606287,1.9049692153930664
50,78,21,7,8,4.62471716189115,1.8829996585845947
51,78,22,11,10,4.202002204019452,1.8990302085876465
52,78,23,5,14,4.472051337787679,1.8880035877227783
53,78,24,2,1,4.688260929722396,2.065972089767456
54,78,25,1,1,4.274235186249889,2.023027181625366
55,78,26,14,5,4.810027294200622,1.882002830505371
56,78,27,5,11,4.493696137802976,1.901968240737915
57,78,28,3,5,4.384991109744529,1.92503023147583
58,78,29,2,1,4.365028344969726,1.9049944877624512
59,78,30,5,6,4.501414053663175,1.891005516052246
60,117,1,4,10,4.486559886768902,2.0350000858306885
61,117,2,10,8,3.696545996701938,2.09397292137146
62,117,3,4,10,4.123209442071855,2.149026870727539
63,117,4,21,11,3.920257835449138,2.06599497795105
64,117,5,1,3,4.579713231659103,2.206977367401123
65,117,6,14,4,4.66348567858314,2.0849976539611816
66,117,7,4,4,4.477741356447069,2.115002393722534
67,117,8,2,8,4.324751409715512,2.2620294094085693
68,117,9,6,4,3.9263711103924805,2.1759700775146484
69,117,10,17,13,4.344717469643582,2.315000295639038
70,117,11,3,3,4.649801885072251,2.169027328491211
71,117,12,10,7,4.255713479582552,2.0689618587493896
72,117,13,16,9,3.9833045087436862,2.0440268516540527
73,117,14,5,10,4.209491323585438,2.080970048904419
74,117,15,2,7,4.669812534819438,2.0719995498657227
75,117,16,4,1,4.356526713941211,2.137002468109131
76,117,17,5,10,4.183647470099232,2.2749998569488525
77,117,18,5,5,3.8314625497177075,2.240000009536743
78,117,19,7,9,4.8120278572036685,2.2299997806549072
79,117,20,4,6,4.666404425648863,2.137997627258301
80,117,21,5,7,3.7032008032232686,2.093033790588379
81,117,22,6,5,4.547159739667469,2.1090080738067627
82,117,23,1,6,4.278414871509242,2.0819666385650635
83,117,24,7,4,4.3635856705244445,2.1039698123931885
84,117,25,13,11,4.334420545728569,2.181002378463745
85,117,26,6,6,4.159081856045608,2.2709996700286865
86,117,27,5,4,4.396126245071674,2.250000476837158
87,117,28,13,3,4.57977265546252,2.2169973850250244
88,117,29,1,6,4.289207226849187,2.1220293045043945
89,117,30,4,6,3.7749797363800837,2.074970245361328
90,156,1,3,8,4.432290925585353,2.31600022315979
91,156,2,7,6,3.9064569498313184,2.2060317993164062
92,156,3,6,1,4.199628998029957,2.327970027923584
93,156,4,15,14,4.19591806899316,2.4020273685455322
94,156,5,5,3,4.143698840732169,2.217999219894409
95,156,6,6,8,4.393193655289265,2.325000286102295
96,156,7,5,10,3.8681147238841,2.2429676055908203
97,156,8,10,4,3.9539138720138167,2.316999912261963
98,156,9,7,5,4.473367301589434,2.3440024852752686
99,156,10,3,5,4.241555966248304,2.482998847961426
100,156,11,10,11,3.7983066334905855,2.410996913909912
101,156,12,6,5,3.992407945510608,2.2920291423797607
102,156,13,8,7,3.8236767266329768,2.4349734783172607
103,156,14,7,6,4.173438396058893,2.3239967823028564
104,156,15,5,12,3.7134205864787946,2.246002197265625
105,156,16,5,9,3.9692783880929783,2.3150293827056885
106,156,17,8,9,4.138029266473128,2.2569684982299805
107,156,18,6,3,3.921793110247914,2.4139997959136963
108,156,19,19,2,4.371300099883426,2.3389968872070312
109,156,20,7,7,4.030679444878292,2.2340328693389893
110,156,21,6,5,3.9479053392773023,2.2789664268493652
111,156,22,11,9,3.6884241912955624,2.2150001525878906
112,156,23,2,4,4.404324894464957,2.3259997367858887
113,156,24,4,2,3.9364806050918437,2.298999309539795
114,156,25,4,2,4.209343374664529,2.363999605178833
115,156,26,7,3,4.590638899347531,2.243999719619751
116,156,27,16,6,4.099430747760719,2.3140299320220947
117,156,28,7,2,4.048394462394662,2.2349729537963867
118,156,29,5,7,3.6361463760650317,2.25
119,156,30,9,12,3.9286072270917565,2.259000301361084
